height_level,z,p,T,q,ws,theta,RH,Td
2486.0,2486.0,76072.74307936734,286.18148885806244,0.005176407773506881,7.781340613448198,309.42799920562425,0.42083341109577527,272.5089964466864
2488.0,2488.0,76054.60066251233,286.1678862143409,0.005172797037335236,7.7868201213734745,309.434368172577,0.4208145994154425,272.4961502922267
2490.0,2490.0,76036.45824565725,286.15428357061893,0.005169187717638627,7.792299629298761,309.44074160288903,0.4207957142467882,272.4832833877518
2492.0,2492.0,76018.31623295546,286.1406803721379,0.005165579334521043,7.797778521417927,309.4471184320432,0.4207767340847926,272.4703946375306
2494.0,2494.0,76000.17687017178,286.1270789421904,0.005161957568269062,7.803264690308168,309.4534986023227,0.42075644374592874,272.4574634180418
2496.0,2496.0,75982.03833808545,286.11348170906143,0.005158326833597238,7.8087496939441605,309.45988684094334,0.4207351228756973,272.4444937579774
2498.0,2498.0,75963.90055106921,286.0998883479794,0.005154688059716517,7.814233372322973,309.46628289671673,0.42071285382364687,272.43148702128684
2500.0,2500.0,75945.76276405298,286.0862949868975,0.005151050688828276,7.8197170507017795,309.47268342755996,0.4206905062193759,272.4184591038734
2502.0,2502.0,75927.62659946312,286.072712760529,0.005147411949395602,7.82521335810959,309.47909867991496,0.4206675567035146,272.4054130040057
2504.0,2504.0,75909.49047609905,286.0591308170931,0.005143774542725595,7.830709986420262,309.48551867358077,0.4206445149338662,272.3923456409159
2506.0,2506.0,75891.35443698175,286.04554889102735,0.0051401391863173254,7.8362067534898685,309.4919430710394,0.4206214469321177,272.37925924428816
2508.0,2508.0,75873.2209048795,286.0319714109048,0.005136521002190823,7.841704852269869,309.4983738594617,0.4205994786614023,272.3662068455263
2510.0,2510.0,75855.08977170056,286.01839265266426,0.005132901413103827,7.8471923266971135,309.5048049635297,0.42057725215299463,272.3531256368752
2512.0,2512.0,75836.9587125162,286.0048136507157,0.005129282909982679,7.852679336984889,309.5112402056784,0.4205549291495212,272.3400218552243
2514.0,2514.0,75818.8286959056,285.99123506147976,0.005125645464309209,7.858154455222298,309.5176792001127,0.420530858728369,272.3268646470309
2516.0,2516.0,75800.70094743212,285.9776579042518,0.0051220004209519086,7.863623746276784,309.52412163907564,0.42050594480961867,272.3136794219774
2518.0,2518.0,75782.57484031603,285.96408269513506,0.005118358528162338,7.869095984777451,309.5305687955848,0.4204810484580825,272.30048153127285
2520.0,2520.0,75764.44905513199,285.95050620633805,0.005114719363577195,7.8745686203658805,309.537018690076,0.4204562168615605,272.2872659981939
2522.0,2522.0,75746.32465057705,285.9369242295389,0.005111087328411378,7.880042958894319,309.5434655401364,0.420431932886529,272.27404706217214
2524.0,2524.0,75728.20090344806,285.9233472439776,0.005107453901199507,7.885516485057986,309.5499215552758,0.42040720554526717,272.260801225556
2526.0,2526.0,75710.07880086533,285.90978611510667,0.005103807073653432,7.890987211454681,309.5563973991752,0.4203807545145667,272.247515293882
2528.0,2528.0,75691.96078426568,285.8962545770907,0.005100135984724895,7.896450756390653,309.5629051374012,0.4203513201733451,272.2342372580935
2530.0,2530.0,75673.84961460148,285.8827336909972,0.005096478675018843,7.901896912109169,309.5694210035225,0.42032256292482156,272.22101912588505
